date,product_id,product_name,category,warehouse,region,beginning_inventory,current_inventory,daily_sales,units_sold,lost_sales,inventory_received,supplier_lead_time,reorder_point,unit_price,discount,promotion,day_of_week,month,season,demand_forecast,stockout_event,sales_rolling_mean_7_days,sales_rolling_mean_30_days,inventory_to_demand_ratio,days_of_inventory_remaining,demand_growth_rate,inventory_change,lead_time_demand,safety_stock_gap,reorder_risk,promotion_demand_change,historical_stockout_rate,stockout_within_next_7_days
2024-01-16,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,98,49,49,49,0,0,13,746,6.31,0.0,0,Tuesday,1,Winter,39.03,0,47.0,45.46666666666667,1.0425531914893618,1.0425531914893618,0.033724340175953035,-49.0,611.0,-562.0,1,0.0,0.0,0
2024-01-17,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,795,755,40,40,0,746,13,746,6.31,0.0,0,Wednesday,1,Winter,49.85,0,47.285714285714285,45.6875,15.96676737160121,15.96676737160121,0.03498143443423879,706.0,614.7142857142857,140.28571428571433,0,0.0,0.0,0
2024-01-18,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,755,720,35,35,0,0,15,746,6.31,0.0,0,Thursday,1,Winter,37.87,0,47.142857142857146,45.35294117647059,15.272727272727272,15.272727272727272,0.03946637020566991,-35.0,707.1428571428572,12.857142857142776,1,0.0,0.0,0
2024-01-19,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,720,672,48,48,0,0,13,746,6.31,0.0,0,Friday,1,Winter,46.97,0,46.42857142857143,44.77777777777778,14.473846153846154,14.473846153846154,0.036866359447004636,-48.0,603.5714285714286,68.42857142857144,1,0.0,0.0,0
2024-01-20,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,672,607,65,65,0,0,18,746,6.31,0.0,0,Saturday,1,Winter,57.08,0,47.714285714285715,44.94736842105263,12.721556886227544,12.721556886227544,0.06155904984944803,-65.0,858.8571428571429,-251.8571428571429,1,0.0,0.0,0
2024-01-21,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,607,549,58,58,0,0,13,746,6.31,0.0,0,Sunday,1,Winter,58.73,0,49.142857142857146,45.95,11.171511627906977,11.171511627906977,0.06948546556816415,-58.0,638.8571428571429,-89.85714285714289,1,0.0,0.0,0
2024-01-22,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,549,506,43,43,0,0,13,746,6.31,0.0,0,Monday,1,Winter,49.43,0,48.714285714285715,46.523809523809526,10.387096774193548,10.387096774193548,0.04708290685772772,-43.0,633.2857142857143,-127.28571428571433,1,0.0,0.0,0
2024-01-23,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,506,451,55,55,0,0,13,746,6.31,0.0,0,Tuesday,1,Winter,50.69,0,48.285714285714285,46.36363636363637,9.340236686390533,9.340236686390533,0.04145658263305313,-55.0,627.7142857142857,-176.71428571428567,1,0.0,0.0,0
2024-01-24,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,451,396,55,55,0,0,13,746,6.31,0.0,0,Wednesday,1,Winter,48.84,0,49.142857142857146,46.73913043478261,8.05813953488372,8.05813953488372,0.05142857142857148,-55.0,638.8571428571429,-242.8571428571429,1,0.0,0.0,0
2024-01-25,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,396,368,28,28,0,0,13,746,6.31,0.0,0,Thursday,1,Winter,41.81,0,51.285714285714285,47.083333333333336,7.1754874651810585,7.1754874651810585,0.08925410872313519,-28.0,666.7142857142857,-298.71428571428567,1,0.0,0.0,1
2024-01-26,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,368,311,57,57,0,0,13,746,6.31,0.25,1,Friday,1,Winter,65.23,0,50.285714285714285,46.32,6.184659090909091,6.184659090909091,0.08561559338761408,-57.0,653.7142857142857,-342.71428571428567,1,0.0,0.0,1
2024-01-27,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,311,252,59,59,0,0,13,746,6.31,0.0,0,Saturday,1,Winter,53.27,0,51.57142857142857,46.73076923076923,4.886426592797784,4.886426592797784,0.10358612580834792,-59.0,670.4285714285714,-418.42857142857144,1,0.23056994818652848,0.0,1
2024-01-28,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,252,209,43,43,0,0,13,746,6.31,0.0,0,Sunday,1,Winter,51.66,0,50.714285714285715,47.18518518518518,4.121126760563381,4.121126760563381,0.07479255438439118,-43.0,659.2857142857143,-450.28571428571433,1,0.21774856203779788,0.0,1
2024-01-29,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,209,158,51,51,0,0,13,746,6.31,0.0,0,Monday,1,Winter,45.05,0,48.57142857142857,47.035714285714285,3.2529411764705882,3.2529411764705882,0.03264996203492784,-51.0,631.4285714285714,-473.42857142857144,1,0.2214285714285715,0.0,1
2024-01-30,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,158,105,53,53,0,0,13,746,6.31,0.0,0,Tuesday,1,Winter,43.18,0,49.714285714285715,47.172413793103445,2.1120689655172415,2.1120689655172415,0.05388471177944872,-53.0,646.2857142857143,-541.2857142857143,1,0.21739130434782614,0.0,1
2024-01-31,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,105,61,44,44,0,0,13,746,6.31,0.0,0,Wednesday,1,Winter,41.42,0,49.42857142857143,47.36666666666667,1.2341040462427746,1.2341040462427746,0.043530712777721955,-44.0,642.5714285714286,-581.5714285714286,1,0.21187683284457476,0.0,1
2024-02-01,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,61,0,69,61,8,0,13,746,6.31,0.25,1,Thursday,2,Winter,63.57,1,47.857142857142854,47.53333333333333,0.0,0.0,0.006812262071729088,-61.0,622.1428571428571,-622.1428571428571,1,0.21448863636363644,0.0,0
2024-02-02,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,746,704,42,42,0,746,18,746,6.31,0.0,0,Friday,2,Winter,36.31,0,53.714285714285715,48.333333333333336,13.106382978723405,13.106382978723405,0.11133004926108371,704.0,966.8571428571429,-262.8571428571429,1,0.3423295454545455,0.03125,0
2024-02-03,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,704,643,61,61,0,0,13,746,6.31,0.0,0,Saturday,2,Winter,49.86,0,51.57142857142857,48.53333333333333,12.46814404432133,12.46814404432133,0.06259811616954473,-61.0,670.4285714285714,-27.428571428571445,1,0.34689655172413797,0.030303030303030304,0
2024-02-04,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,643,594,49,49,0,0,13,746,6.31,0.0,0,Sunday,2,Winter,51.26,0,51.857142857142854,48.766666666666666,11.454545454545455,11.454545454545455,0.06337271750805581,-49.0,674.1428571428571,-80.14285714285711,1,0.33421575115817337,0.029411764705882353,0
2024-02-05,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,594,555,39,39,0,0,13,746,6.31,0.0,0,Monday,2,Winter,44.82,0,52.714285714285715,49.266666666666666,10.528455284552845,10.528455284552845,0.06997873574328246,-39.0,685.2857142857143,-130.28571428571433,1,0.3326923076923077,0.02857142857142857,0
2024-02-06,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,555,506,49,49,0,0,13,746,6.31,0.0,0,Tuesday,2,Winter,44.36,0,51.0,48.63333333333333,9.92156862745098,9.92156862745098,0.04866346812885539,-49.0,663.0,-157.0,1,0.3395872420262664,0.027777777777777776,0
2024-02-07,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,506,461,45,45,0,0,13,746,6.31,0.0,0,Wednesday,2,Winter,42.6,0,50.42857142857143,48.86666666666667,9.141643059490084,9.141643059490084,0.03196258039368547,-45.0,655.5714285714286,-194.57142857142856,1,0.3379854368932038,0.02702702702702703,0
2024-02-08,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,461,432,29,29,0,0,13,746,6.31,0.0,0,Thursday,2,Winter,43.09,0,50.57142857142857,48.86666666666667,8.542372881355933,8.542372881355933,0.03488598713701028,-29.0,657.4285714285714,-225.42857142857144,1,0.3396337861783815,0.02631578947368421,0
2024-02-09,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,432,390,42,42,0,0,13,746,6.31,0.0,0,Friday,2,Winter,44.32,0,44.857142857142854,48.266666666666666,8.694267515923567,8.694267515923567,-0.07063930544593533,-42.0,583.1428571428571,-193.1428571428571,1,0.35365853658536583,0.02564102564102564,0
2024-02-10,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,390,325,65,65,0,0,13,746,6.31,0.0,0,Saturday,2,Winter,53.0,0,44.857142857142854,48.3,7.245222929936306,7.245222929936306,-0.0712806861875185,-65.0,583.1428571428571,-258.1428571428571,1,0.3571428571428572,0.025,1
2024-02-11,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,325,257,68,68,0,0,13,746,6.31,0.0,0,Sunday,2,Winter,58.32,0,45.42857142857143,49.13333333333333,5.6572327044025155,5.6572327044025155,-0.0754022097305679,-68.0,590.5714285714286,-333.57142857142856,1,0.34335702569710225,0.024390243902439025,1
2024-02-12,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,257,210,47,47,0,0,13,746,6.31,0.0,0,Monday,2,Winter,45.65,0,48.142857142857146,50.1,4.362017804154302,4.362017804154302,-0.03906472768748215,-47.0,625.8571428571429,-415.8571428571429,1,0.32841328413284143,0.023809523809523808,1
2024-02-13,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,210,165,45,45,0,0,13,746,6.31,0.0,0,Tuesday,2,Winter,46.78,0,49.285714285714285,49.833333333333336,3.347826086956522,3.347826086956522,-0.010989010989011056,-45.0,640.7142857142857,-475.71428571428567,1,0.3287037037037037,0.023255813953488372,1
2024-02-14,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,165,115,50,50,0,0,15,746,6.31,0.0,0,Wednesday,2,Winter,54.12,0,48.714285714285715,49.3,2.3607038123167157,2.3607038123167157,-0.011880614314691316,-50.0,730.7142857142858,-615.7142857142858,1,0.33031674208144807,0.022727272727272728,1
2024-02-15,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,115,65,50,50,0,0,16,746,6.31,0.0,0,Thursday,2,Winter,38.34,0,49.42857142857143,49.43333333333333,1.315028901734104,1.315028901734104,-9.632983334928017e-05,-50.0,790.8571428571429,-725.8571428571429,1,0.32859244727807757,0.022222222222222223,1
2024-02-16,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,65,14,51,51,0,0,13,746,6.31,0.0,0,Friday,2,Winter,52.6,0,52.42857142857143,49.46666666666667,0.2670299727520436,0.2670299727520436,0.059876780901039664,-51.0,681.5714285714286,-667.5714285714286,1,0.3269506941120153,0.021739130434782608,1
2024-02-17,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,14,0,58,14,44,0,13,746,6.31,0.0,0,Saturday,2,Winter,55.22,1,53.714285714285715,49.833333333333336,0.0,0.0,0.07787864309603437,-14.0,698.2857142857143,-698.2857142857143,1,0.32476635514018687,0.02127659574468085,1
2024-02-18,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,0,0,52,0,52,0,13,746,6.31,0.0,0,Sunday,2,Winter,40.1,1,52.714285714285715,50.6,0.0,0.0,0.041784302653867865,0.0,685.2857142857143,-685.2857142857143,1,0.3184713375796179,0.041666666666666664,1
2024-02-19,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,0,0,41,0,41,0,13,746,6.31,0.0,0,Monday,2,Winter,38.19,1,50.42857142857143,50.733333333333334,0.0,0.0,-0.006007133470996787,0.0,655.5714285714286,-655.5714285714286,1,0.31599999999999995,0.061224489795918366,0
2024-02-20,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,844,804,40,40,0,844,18,746,6.31,0.0,0,Tuesday,2,Winter,45.49,0,49.57142857142857,49.93333333333333,16.219020172910664,16.219020172910664,-0.0072477589166507475,804.0,892.2857142857142,-88.28571428571422,0,0.31994762112614583,0.08,0
2024-02-21,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,804,758,46,46,0,0,13,746,6.31,0.0,0,Wednesday,2,Winter,43.44,0,48.857142857142854,49.333333333333336,15.514619883040936,15.514619883040936,-0.009652509652509762,-46.0,635.1428571428571,122.85714285714289,0,0.3243243243243244,0.0784313725490196,0
2024-02-22,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,758,726,32,32,0,0,13,746,6.31,0.0,0,Thursday,2,Winter,42.92,0,48.285714285714285,49.43333333333333,15.035502958579881,15.035502958579881,-0.023215489837202535,-32.0,627.7142857142857,98.28571428571433,1,0.3251998317206563,0.07692307692307693,0
2024-02-23,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,726,692,34,34,0,0,13,746,6.31,0.0,0,Friday,2,Winter,45.32,0,45.714285714285715,48.666666666666664,15.1375,15.1375,-0.06066536203522498,-34.0,594.2857142857143,97.71428571428567,1,0.33374844333748444,0.07547169811320754,0
2024-02-24,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,692,619,73,73,0,0,13,746,6.31,0.0,0,Saturday,2,Winter,58.14,0,43.285714285714285,47.96666666666667,14.3003300330033,14.3003300330033,-0.0975876104437606,-73.0,562.7142857142857,56.285714285714334,1,0.3409742120343839,0.07407407407407407,0
2024-02-25,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,619,557,62,62,0,0,15,746,6.31,0.0,0,Sunday,2,Winter,62.27,0,45.42857142857143,49.46666666666667,12.261006289308176,12.261006289308176,-0.08163265306122448,-62.0,681.4285714285714,-124.42857142857144,1,0.3271065182829889,0.07272727272727272,0
2024-02-26,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,557,511,46,46,0,0,13,746,6.31,0.0,0,Monday,2,Winter,48.41,0,46.857142857142854,49.63333333333333,10.90548780487805,10.90548780487805,-0.05593399213278332,-46.0,609.1428571428571,-98.14285714285711,1,0.3196276183087665,0.07142857142857142,0
2024-02-27,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,511,463,48,48,0,0,13,746,6.31,0.0,0,Tuesday,2,Winter,45.12,0,47.57142857142857,49.2,9.732732732732734,9.732732732732734,-0.03310104529616734,-48.0,618.4285714285714,-155.42857142857144,1,0.32050304878048774,0.07017543859649122,0
2024-02-28,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,463,418,45,45,0,0,13,746,6.31,0.0,0,Wednesday,2,Winter,49.29,0,48.714285714285715,49.36666666666667,8.580645161290322,8.580645161290322,-0.013215009163692474,-45.0,633.2857142857143,-215.28571428571433,1,0.3203592814371257,0.06896551724137931,0
2024-02-29,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,418,376,42,42,0,0,13,746,6.31,0.0,0,Thursday,2,Winter,48.44,0,48.57142857142857,49.166666666666664,7.741176470588235,7.741176470588235,-0.012106537530266338,-42.0,631.4285714285714,-255.42857142857144,1,0.3216783216783217,0.06779661016949153,0
2024-03-01,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,376,321,55,55,0,0,16,746,6.31,0.0,0,Friday,3,Spring,36.56,0,50.0,48.8,6.42,6.42,0.024590163934426288,-55.0,800.0,-479.0,1,0.32439289597680315,0.06666666666666667,0
2024-03-02,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,321,277,44,44,0,0,15,746,6.31,0.0,0,Saturday,3,Spring,47.62,0,53.0,49.166666666666664,5.226415094339623,5.226415094339623,0.0779661016949153,-44.0,795.0,-518.0,1,0.32089552238805974,0.06557377049180328,0
2024-03-03,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,277,225,52,52,0,0,13,746,6.31,0.0,0,Sunday,3,Spring,49.86,0,48.857142857142854,48.333333333333336,4.605263157894737,4.605263157894737,0.010837438423645207,-52.0,635.1428571428571,-410.1428571428571,1,0.32260321903428973,0.06451612903225806,0
2024-03-04,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,225,181,44,44,0,0,13,746,6.31,0.0,0,Monday,3,Spring,51.15,0,47.42857142857143,48.666666666666664,3.816265060240964,3.816265060240964,-0.0254403131115459,-44.0,616.5714285714286,-435.57142857142856,1,0.3206185567010309,0.06349206349206349,0
2024-03-05,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,181,135,46,46,0,0,8,746,6.31,0.0,0,Tuesday,3,Spring,45.85,0,47.142857142857146,48.1,2.8636363636363633,2.8636363636363633,-0.019899019899019866,-46.0,377.14285714285717,-242.14285714285717,1,0.3222748815165876,0.0625,0
2024-03-06,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,881,829,52,52,0,746,13,746,6.31,0.0,0,Wednesday,3,Spring,43.46,0,46.857142857142854,48.0,17.692073170731707,17.692073170731707,-0.023809523809523874,694.0,609.1428571428571,219.8571428571429,0,0.32299999999999995,0.06153846153846154,0
2024-03-07,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,829,782,47,47,0,0,13,746,6.31,0.0,0,Thursday,3,Spring,42.12,0,47.857142857142854,48.43333333333333,16.340298507462688,16.340298507462688,-0.011896568675646441,-47.0,622.1428571428571,159.8571428571429,0,0.3211009174311927,0.06060606060606061,0
2024-03-08,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,782,734,48,48,0,0,13,746,6.31,0.0,0,Friday,3,Spring,55.31,0,48.57142857142857,48.36666666666667,15.111764705882354,15.111764705882354,0.0042335335236782,-48.0,631.4285714285714,102.57142857142856,1,0.32139399806389163,0.05970149253731343,0
2024-03-09,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,734,677,57,57,0,0,13,746,6.31,0.0,0,Saturday,3,Spring,53.74,0,47.57142857142857,48.46666666666667,14.231231231231233,14.231231231231233,-0.0184712124189429,-57.0,618.4285714285714,58.571428571428555,1,0.3212583412774071,0.058823529411764705,0
2024-03-10,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,677,615,62,62,0,0,13,746,6.31,0.0,0,Sunday,3,Spring,54.15,0,49.42857142857143,49.4,12.442196531791907,12.442196531791907,0.0005783689994217009,-62.0,642.5714285714286,-27.571428571428555,1,0.31741573033707876,0.057971014492753624,0
2024-03-11,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,615,561,54,54,0,0,13,746,6.31,0.0,0,Monday,3,Spring,41.66,0,50.857142857142854,50.06666666666667,11.030898876404494,11.030898876404494,0.015788472512839893,-54.0,661.1428571428571,-100.14285714285711,1,0.3116962645437844,0.05714285714285714,0
2024-03-12,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,561,520,41,41,0,0,13,746,6.31,0.0,0,Tuesday,3,Spring,44.5,0,52.285714285714285,49.7,9.94535519125683,9.94535519125683,0.05202644438056905,-41.0,679.7142857142857,-159.71428571428567,1,0.30933734939759033,0.056338028169014086,0
2024-03-13,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,520,464,56,56,0,0,13,746,6.31,0.0,0,Wednesday,3,Spring,43.64,0,51.57142857142857,48.8,8.997229916897508,8.997229916897508,0.056791569086651075,-56.0,670.4285714285714,-206.42857142857144,1,0.31210949122285037,0.05555555555555555,0
2024-03-14,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,464,422,42,42,0,0,15,746,6.31,0.0,0,Thursday,3,Spring,44.68,0,52.142857142857146,49.1,8.093150684931507,8.093150684931507,0.061972650567355285,-42.0,782.1428571428572,-360.1428571428572,1,0.30904302019315194,0.0547945205479452,0
2024-03-15,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,422,373,49,49,0,0,13,746,6.31,0.0,0,Friday,3,Spring,39.1,0,51.42857142857143,49.0,7.252777777777777,7.252777777777777,0.04956268221574348,-49.0,668.5714285714286,-295.57142857142856,1,0.31136166522116226,0.05405405405405406,0
2024-03-16,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,373,326,47,47,0,0,13,746,6.31,0.0,0,Saturday,3,Spring,45.64,0,51.57142857142857,48.96666666666667,6.321329639889197,6.321329639889197,0.053194593017601786,-47.0,670.4285714285714,-344.42857142857144,1,0.3110034207525656,0.05333333333333334,0
2024-03-17,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,326,281,45,45,0,0,13,746,6.31,0.0,0,Sunday,3,Spring,45.78,0,50.142857142857146,48.86666666666667,5.603988603988603,5.603988603988603,0.02611576690703572,-45.0,651.8571428571429,-370.8571428571429,1,0.31139240506329113,0.05263157894736842,0
2024-03-18,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,281,236,45,45,0,0,13,746,6.31,0.0,0,Monday,3,Spring,40.81,0,47.714285714285715,48.666666666666664,4.946107784431137,4.946107784431137,-0.019569471624266078,-45.0,620.2857142857143,-384.28571428571433,1,0.3125,0.05194805194805195,0
2024-03-19,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,236,184,52,52,0,0,18,746,6.31,0.0,0,Tuesday,3,Spring,37.56,0,46.42857142857143,48.233333333333334,3.963076923076923,3.963076923076923,-0.03741731661565799,-52.0,835.7142857142858,-651.7142857142858,1,0.3135802469135803,0.05128205128205128,0
2024-03-20,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,184,138,46,46,0,0,15,746,6.31,0.0,0,Wednesday,3,Spring,41.22,0,48.0,48.233333333333334,2.875,2.875,-0.004837595024187995,-46.0,720.0,-582.0,1,0.31214498241817695,0.05063291139240506,0
2024-03-21,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,884,844,40,40,0,746,13,746,6.31,0.0,0,Thursday,3,Spring,48.78,0,46.57142857142857,48.4,18.12269938650307,18.12269938650307,-0.037780401416765065,706.0,605.4285714285714,238.57142857142856,0,0.3128506545551696,0.05,0
2024-03-22,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,844,807,37,37,0,0,13,746,6.31,0.0,0,Friday,3,Spring,39.09,0,46.285714285714285,48.4,17.435185185185187,17.435185185185187,-0.04368358913813459,-37.0,601.7142857142857,205.28571428571433,0,0.3156225218080888,0.04938271604938271,0
2024-03-23,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,807,756,51,51,0,0,13,746,6.31,0.0,0,Saturday,3,Spring,50.13,0,44.57142857142857,48.1,16.961538461538463,16.961538461538463,-0.07335907335907343,-51.0,579.4285714285714,176.57142857142856,0,0.3193717277486911,0.04878048780487805,0
2024-03-24,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,756,702,54,54,0,0,13,746,6.31,0.0,0,Sunday,3,Spring,45.75,0,45.142857142857146,48.733333333333334,15.550632911392404,15.550632911392404,-0.07367598202071522,-54.0,586.8571428571429,115.14285714285711,1,0.318264014466546,0.04819277108433735,0
2024-03-25,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,702,667,35,35,0,0,13,746,6.31,0.0,0,Monday,3,Spring,39.39,0,46.42857142857143,49.4,14.366153846153846,14.366153846153846,-0.06015037593984956,-35.0,603.5714285714286,63.428571428571445,1,0.31617834394904454,0.047619047619047616,0
2024-03-26,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,667,643,24,24,0,0,13,746,6.31,0.0,0,Tuesday,3,Spring,41.99,0,45.0,48.13333333333333,14.28888888888889,14.28888888888889,-0.06509695290858725,-24.0,585.0,58.0,1,0.3204545454545454,0.047058823529411764,0
