date,product_id,product_name,category,warehouse,region,beginning_inventory,current_inventory,daily_sales,units_sold,lost_sales,inventory_received,supplier_lead_time,reorder_point,unit_price,discount,promotion,day_of_week,month,season,demand_forecast,stockout_event
2024-02-04,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,643,594,49,49,0,0,13,746,6.31,0.0,0,Sunday,2,Winter,51.26,0
2024-02-05,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,594,555,39,39,0,0,13,746,6.31,0.0,0,Monday,2,Winter,44.82,0
2024-02-06,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,555,506,49,49,0,0,13,746,6.31,0.0,0,Tuesday,2,Winter,44.36,0
2024-02-07,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,506,461,45,45,0,0,13,746,6.31,0.0,0,Wednesday,2,Winter,42.6,0
2024-02-08,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,461,432,29,29,0,0,13,746,6.31,0.0,0,Thursday,2,Winter,43.09,0
2024-02-09,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,432,390,42,42,0,0,13,746,6.31,0.0,0,Friday,2,Winter,44.32,0
2024-02-10,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,390,325,65,65,0,0,13,746,6.31,0.0,0,Saturday,2,Winter,53.0,0
2024-02-11,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,325,257,68,68,0,0,13,746,6.31,0.0,0,Sunday,2,Winter,58.32,0
2024-02-12,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,257,210,47,47,0,0,13,746,6.31,0.0,0,Monday,2,Winter,45.65,0
2024-02-13,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,210,165,45,45,0,0,13,746,6.31,0.0,0,Tuesday,2,Winter,46.78,0
2024-02-14,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,165,115,50,50,0,0,15,746,6.31,0.0,0,Wednesday,2,Winter,54.12,0
2024-02-15,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,115,65,50,50,0,0,16,746,6.31,0.0,0,Thursday,2,Winter,38.34,0
2024-02-16,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,65,14,51,51,0,0,13,746,6.31,0.0,0,Friday,2,Winter,52.6,0
2024-02-17,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,14,0,58,14,44,0,13,746,6.31,0.0,0,Saturday,2,Winter,55.22,1
2024-02-18,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,0,0,52,0,52,0,13,746,6.31,0.0,0,Sunday,2,Winter,40.1,1
2024-02-19,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,0,0,41,0,41,0,13,746,6.31,0.0,0,Monday,2,Winter,38.19,1
2024-02-20,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,844,804,40,40,0,844,18,746,6.31,0.0,0,Tuesday,2,Winter,45.49,0
2024-02-21,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,804,758,46,46,0,0,13,746,6.31,0.0,0,Wednesday,2,Winter,43.44,0
2024-02-22,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,758,726,32,32,0,0,13,746,6.31,0.0,0,Thursday,2,Winter,42.92,0
2024-02-23,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,726,692,34,34,0,0,13,746,6.31,0.0,0,Friday,2,Winter,45.32,0
2024-02-24,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,692,619,73,73,0,0,13,746,6.31,0.0,0,Saturday,2,Winter,58.14,0
2024-02-25,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,619,557,62,62,0,0,15,746,6.31,0.0,0,Sunday,2,Winter,62.27,0
2024-02-26,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,557,511,46,46,0,0,13,746,6.31,0.0,0,Monday,2,Winter,48.41,0
2024-02-27,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,511,463,48,48,0,0,13,746,6.31,0.0,0,Tuesday,2,Winter,45.12,0
2024-02-28,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,463,418,45,45,0,0,13,746,6.31,0.0,0,Wednesday,2,Winter,49.29,0
2024-02-29,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,418,376,42,42,0,0,13,746,6.31,0.0,0,Thursday,2,Winter,48.44,0
2024-03-01,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,376,321,55,55,0,0,16,746,6.31,0.0,0,Friday,3,Spring,36.56,0
2024-03-02,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,321,277,44,44,0,0,15,746,6.31,0.0,0,Saturday,3,Spring,47.62,0
2024-03-03,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,277,225,52,52,0,0,13,746,6.31,0.0,0,Sunday,3,Spring,49.86,0
2024-03-04,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,225,181,44,44,0,0,13,746,6.31,0.0,0,Monday,3,Spring,51.15,0
2024-03-05,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,181,135,46,46,0,0,8,746,6.31,0.0,0,Tuesday,3,Spring,45.85,0
2024-03-06,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,881,829,52,52,0,746,13,746,6.31,0.0,0,Wednesday,3,Spring,43.46,0
2024-03-07,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,829,782,47,47,0,0,13,746,6.31,0.0,0,Thursday,3,Spring,42.12,0
2024-03-08,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,782,734,48,48,0,0,13,746,6.31,0.0,0,Friday,3,Spring,55.31,0
2024-03-09,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,734,677,57,57,0,0,13,746,6.31,0.0,0,Saturday,3,Spring,53.74,0
2024-03-10,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,677,615,62,62,0,0,13,746,6.31,0.0,0,Sunday,3,Spring,54.15,0
2024-03-11,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,615,561,54,54,0,0,13,746,6.31,0.0,0,Monday,3,Spring,41.66,0
2024-03-12,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,561,520,41,41,0,0,13,746,6.31,0.0,0,Tuesday,3,Spring,44.5,0
2024-03-13,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,520,464,56,56,0,0,13,746,6.31,0.0,0,Wednesday,3,Spring,43.64,0
2024-03-14,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,464,422,42,42,0,0,15,746,6.31,0.0,0,Thursday,3,Spring,44.68,0
2024-03-15,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,422,373,49,49,0,0,13,746,6.31,0.0,0,Friday,3,Spring,39.1,0
2024-03-16,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,373,326,47,47,0,0,13,746,6.31,0.0,0,Saturday,3,Spring,45.64,0
2024-03-17,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,326,281,45,45,0,0,13,746,6.31,0.0,0,Sunday,3,Spring,45.78,0
2024-03-18,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,281,236,45,45,0,0,13,746,6.31,0.0,0,Monday,3,Spring,40.81,0
2024-03-19,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,236,184,52,52,0,0,18,746,6.31,0.0,0,Tuesday,3,Spring,37.56,0
2024-03-20,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,184,138,46,46,0,0,15,746,6.31,0.0,0,Wednesday,3,Spring,41.22,0
2024-03-21,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,884,844,40,40,0,746,13,746,6.31,0.0,0,Thursday,3,Spring,48.78,0
2024-03-22,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,844,807,37,37,0,0,13,746,6.31,0.0,0,Friday,3,Spring,39.09,0
2024-03-23,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,807,756,51,51,0,0,13,746,6.31,0.0,0,Saturday,3,Spring,50.13,0
2024-03-24,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,756,702,54,54,0,0,13,746,6.31,0.0,0,Sunday,3,Spring,45.75,0
2024-03-25,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,702,667,35,35,0,0,13,746,6.31,0.0,0,Monday,3,Spring,39.39,0
2024-03-26,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,667,643,24,24,0,0,13,746,6.31,0.0,0,Tuesday,3,Spring,41.99,0
2024-03-27,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,643,607,36,36,0,0,13,746,6.31,0.0,0,Wednesday,3,Spring,37.43,0
2024-03-28,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,607,567,40,40,0,0,13,746,6.31,0.0,0,Thursday,3,Spring,46.47,0
2024-03-29,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,567,523,44,44,0,0,13,746,6.31,0.0,0,Friday,3,Spring,49.53,0
2024-03-30,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,523,463,60,60,0,0,13,746,6.31,0.0,0,Saturday,3,Spring,52.37,0
2024-03-31,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,463,415,48,48,0,0,13,746,6.31,0.0,0,Sunday,3,Spring,51.39,0
2024-04-01,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,415,374,41,41,0,0,13,746,6.31,0.0,0,Monday,4,Spring,42.31,0
2024-04-02,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,374,323,51,51,0,0,13,746,6.31,0.0,0,Tuesday,4,Spring,45.94,0
2024-04-03,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,323,290,33,33,0,0,13,746,6.31,0.0,0,Wednesday,4,Spring,42.04,0
2024-04-04,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,290,239,51,51,0,0,13,746,6.31,0.0,0,Thursday,4,Spring,39.42,0
2024-04-05,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,239,200,39,39,0,0,13,746,6.31,0.0,0,Friday,4,Spring,45.75,0
2024-04-06,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,946,900,46,46,0,746,13,746,6.31,0.0,0,Saturday,4,Spring,44.22,0
2024-04-07,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,900,853,47,47,0,0,13,746,6.31,0.0,0,Sunday,4,Spring,47.23,0
2024-04-08,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,853,800,53,53,0,0,13,746,6.31,0.15,1,Monday,4,Spring,50.72,0
2024-04-09,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,800,740,60,60,0,0,13,746,6.31,0.25,1,Tuesday,4,Spring,67.1,0
2024-04-10,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,740,704,36,36,0,0,16,746,6.31,0.0,0,Wednesday,4,Spring,39.85,0
2024-04-11,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,704,661,43,43,0,0,13,746,6.31,0.0,0,Thursday,4,Spring,47.15,0
2024-04-12,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,661,619,42,42,0,0,13,746,6.31,0.0,0,Friday,4,Spring,40.83,0
2024-04-13,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,619,577,42,42,0,0,19,746,6.31,0.0,0,Saturday,4,Spring,46.44,0
2024-04-14,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,577,520,57,57,0,0,13,746,6.31,0.0,0,Sunday,4,Spring,49.11,0
2024-04-15,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,520,472,48,48,0,0,13,746,6.31,0.0,0,Monday,4,Spring,38.74,0
2024-04-16,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,472,435,37,37,0,0,13,746,6.31,0.0,0,Tuesday,4,Spring,40.05,0
2024-04-17,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,435,385,50,50,0,0,13,746,6.31,0.0,0,Wednesday,4,Spring,41.36,0
2024-04-18,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,385,348,37,37,0,0,13,746,6.31,0.0,0,Thursday,4,Spring,49.01,0
2024-04-19,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,348,305,43,43,0,0,18,746,6.31,0.0,0,Friday,4,Spring,39.01,0
2024-04-20,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,305,254,51,51,0,0,13,746,6.31,0.0,0,Saturday,4,Spring,44.52,0
2024-04-21,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,254,198,56,56,0,0,13,746,6.31,0.0,0,Sunday,4,Spring,54.19,0
2024-04-22,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,944,896,48,48,0,746,13,746,6.31,0.0,0,Monday,4,Spring,50.41,0
2024-04-23,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,896,858,38,38,0,0,17,746,6.31,0.0,0,Tuesday,4,Spring,45.13,0
2024-04-24,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,858,824,34,34,0,0,13,746,6.31,0.0,0,Wednesday,4,Spring,40.49,0
2024-04-25,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,824,775,49,49,0,0,13,746,6.31,0.0,0,Thursday,4,Spring,42.28,0
2024-04-26,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,775,740,35,35,0,0,13,746,6.31,0.0,0,Friday,4,Spring,42.6,0
2024-04-27,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,740,682,58,58,0,0,13,746,6.31,0.0,0,Saturday,4,Spring,42.44,0
2024-04-28,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,682,624,58,58,0,0,13,746,6.31,0.0,0,Sunday,4,Spring,52.78,0
2024-04-29,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,624,582,42,42,0,0,13,746,6.31,0.0,0,Monday,4,Spring,42.23,0
2024-04-30,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,582,543,39,39,0,0,13,746,6.31,0.0,0,Tuesday,4,Spring,36.88,0
2024-05-01,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,543,487,56,56,0,0,19,746,6.31,0.25,1,Wednesday,5,Spring,60.98,0
2024-05-02,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,487,450,37,37,0,0,17,746,6.31,0.0,0,Thursday,5,Spring,41.59,0
2024-05-03,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,450,402,48,48,0,0,19,746,6.31,0.0,0,Friday,5,Spring,37.04,0
2024-05-04,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,402,355,47,47,0,0,13,746,6.31,0.0,0,Saturday,5,Spring,52.91,0
2024-05-05,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,355,300,55,55,0,0,13,746,6.31,0.0,0,Sunday,5,Spring,51.13,0
2024-05-06,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,300,253,47,47,0,0,13,746,6.31,0.0,0,Monday,5,Spring,38.96,0
2024-05-07,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,253,214,39,39,0,0,13,746,6.31,0.0,0,Tuesday,5,Spring,36.14,0
2024-05-08,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,214,157,57,57,0,0,13,746,6.31,0.0,0,Wednesday,5,Spring,40.71,0
2024-05-09,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,903,854,49,49,0,746,13,746,6.31,0.0,0,Thursday,5,Spring,50.99,0
2024-05-10,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,854,811,43,43,0,0,13,746,6.31,0.0,0,Friday,5,Spring,41.89,0
2024-05-11,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,811,765,46,46,0,0,13,746,6.31,0.0,0,Saturday,5,Spring,57.75,0
2024-05-12,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,765,701,64,64,0,0,13,746,6.31,0.0,0,Sunday,5,Spring,49.27,0
2024-05-13,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,701,667,34,34,0,0,13,746,6.31,0.0,0,Monday,5,Spring,38.88,0
2024-05-14,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,667,629,38,38,0,0,13,746,6.31,0.0,0,Tuesday,5,Spring,42.85,0
2024-05-15,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,629,586,43,43,0,0,13,746,6.31,0.0,0,Wednesday,5,Spring,38.44,0
2024-05-16,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,586,561,25,25,0,0,16,746,6.31,0.0,0,Thursday,5,Spring,41.46,0
2024-05-17,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,561,518,43,43,0,0,13,746,6.31,0.0,0,Friday,5,Spring,34.7,0
2024-05-18,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,518,446,72,72,0,0,13,746,6.31,0.15,1,Saturday,5,Spring,60.09,0
2024-05-19,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,446,374,72,72,0,0,13,746,6.31,0.2,1,Sunday,5,Spring,64.48,0
2024-05-20,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,374,331,43,43,0,0,17,746,6.31,0.0,0,Monday,5,Spring,39.48,0
2024-05-21,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,331,285,46,46,0,0,13,746,6.31,0.0,0,Tuesday,5,Spring,44.23,0
2024-05-22,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,285,244,41,41,0,0,13,746,6.31,0.0,0,Wednesday,5,Spring,42.13,0
2024-05-23,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,244,198,46,46,0,0,13,746,6.31,0.0,0,Thursday,5,Spring,47.62,0
2024-05-24,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,198,160,38,38,0,0,13,746,6.31,0.0,0,Friday,5,Spring,44.74,0
2024-05-25,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,906,864,42,42,0,746,13,746,6.31,0.0,0,Saturday,5,Spring,54.43,0
2024-05-26,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,864,815,49,49,0,0,13,746,6.31,0.0,0,Sunday,5,Spring,42.89,0
2024-05-27,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,815,758,57,57,0,0,13,746,6.31,0.2,1,Monday,5,Spring,57.55,0
2024-05-28,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,758,715,43,43,0,0,13,746,6.31,0.0,0,Tuesday,5,Spring,45.24,0
2024-05-29,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,715,657,58,58,0,0,19,746,6.31,0.0,0,Wednesday,5,Spring,38.44,0
2024-05-30,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,657,622,35,35,0,0,13,746,6.31,0.0,0,Thursday,5,Spring,34.34,0
2024-05-31,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,622,586,36,36,0,0,13,746,6.31,0.0,0,Friday,5,Spring,45.45,0
2024-06-01,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,586,528,58,58,0,0,13,746,6.31,0.0,0,Saturday,6,Summer,52.35,0
2024-06-02,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,528,477,51,51,0,0,15,746,6.31,0.0,0,Sunday,6,Summer,62.55,0
2024-06-03,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,477,429,48,48,0,0,13,746,6.31,0.0,0,Monday,6,Summer,39.29,0
2024-06-04,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,429,385,44,44,0,0,13,746,6.31,0.0,0,Tuesday,6,Summer,43.97,0
2024-06-05,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,385,342,43,43,0,0,13,746,6.31,0.0,0,Wednesday,6,Summer,41.52,0
2024-06-06,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,342,299,43,43,0,0,13,746,6.31,0.0,0,Thursday,6,Summer,49.78,0
2024-06-07,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,299,260,39,39,0,0,13,746,6.31,0.0,0,Friday,6,Summer,48.65,0
2024-06-08,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,260,219,41,41,0,0,13,746,6.31,0.0,0,Saturday,6,Summer,47.82,0
2024-06-09,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,219,165,54,54,0,0,13,746,6.31,0.0,0,Sunday,6,Summer,49.96,0
2024-06-10,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,911,867,44,44,0,746,13,746,6.31,0.0,0,Monday,6,Summer,44.72,0
2024-06-11,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,867,822,45,45,0,0,19,746,6.31,0.0,0,Tuesday,6,Summer,39.44,0
2024-06-12,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,822,778,44,44,0,0,13,746,6.31,0.0,0,Wednesday,6,Summer,45.73,0
2024-06-13,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,778,734,44,44,0,0,15,746,6.31,0.0,0,Thursday,6,Summer,41.06,0
2024-06-14,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,734,694,40,40,0,0,13,746,6.31,0.0,0,Friday,6,Summer,39.82,0
2024-06-15,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,694,649,45,45,0,0,13,746,6.31,0.0,0,Saturday,6,Summer,51.02,0
2024-06-16,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,649,598,51,51,0,0,13,746,6.31,0.0,0,Sunday,6,Summer,52.02,0
2024-06-17,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,598,551,47,47,0,0,13,746,6.31,0.0,0,Monday,6,Summer,52.98,0
2024-06-18,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,551,499,52,52,0,0,13,746,6.31,0.0,0,Tuesday,6,Summer,40.78,0
2024-06-19,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,499,459,40,40,0,0,13,746,6.31,0.0,0,Wednesday,6,Summer,48.31,0
2024-06-20,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,459,418,41,41,0,0,13,746,6.31,0.0,0,Thursday,6,Summer,47.81,0
2024-06-21,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,418,364,54,54,0,0,13,746,6.31,0.0,0,Friday,6,Summer,51.29,0
2024-06-22,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,364,277,87,87,0,0,13,746,6.31,0.25,1,Saturday,6,Summer,86.5,0
